GSM2550993	SRR5379771
GSM2550995	SRR5379772
GSM2550997	SRR5379773
GSM2550999	SRR5379774
GSM2551001	SRR5379775
GSM2551003	SRR5379776
GSM2551004	SRR5379777
GSM2551005	SRR5379778
GSM2551006	SRR5379779
GSM2551007	SRR5379780
GSM2551008	SRR5379781
GSM2551009	SRR5379782
GSM2551010	SRR5379783
GSM2551011	SRR5379785
GSM2551012	SRR5379786
GSM2551013	SRR5379787
GSM2551014	SRR5379788
GSM2551015	SRR5379789
GSM2551016	SRR5379790
GSM2551017	SRR5379791
GSM2551018	SRR5379792
GSM2551019	SRR5379793
GSM2551020	SRR5379794
GSM2551021	SRR5379795
